state,participation_act,composite_act,year,participation_sat,ebrw_sat,math_sat,total_sat,composite_act_normalized,total_sat_normalized,avg_score
Idaho,0.36,22.3,2018,1.0,508,493,1001,0.6194444444444445,0.625625,0.6225347222222222
Illinois,0.43,23.9,2018,0.99,513,506,1019,0.6638888888888889,0.636875,0.6503819444444444
Indiana,0.32,22.5,2018,0.63,542,532,1074,0.625,0.67125,0.6481250000000001
Iowa,0.68,21.8,2018,0.03,634,631,1265,0.6055555555555556,0.790625,0.6980902777777778
Kansas,0.71,21.6,2018,0.04,633,631,1265,0.6000000000000001,0.790625,0.6953125
Kentucky,1.0,20.2,2018,0.04,630,618,1248,0.5611111111111111,0.78,0.6705555555555556
Louisiana,1.0,19.2,2018,0.04,615,595,1210,0.5333333333333333,0.75625,0.6447916666666667
Maine,0.07,24.0,2018,0.99,512,501,1013,0.6666666666666666,0.633125,0.6498958333333333
Maryland,0.31,22.5,2018,0.76,545,535,1080,0.625,0.675,0.65
Massachusetts,0.25,25.5,2018,0.8,562,563,1125,0.7083333333333334,0.703125,0.7057291666666667
Michigan,0.22,24.2,2018,1.0,511,499,1011,0.6722222222222222,0.631875,0.652048611111111
Minnesota,0.99,21.3,2018,0.04,643,655,1298,0.5916666666666667,0.81125,0.7014583333333333
Mississippi,1.0,18.6,2018,0.03,630,606,1236,0.5166666666666667,0.7725,0.6445833333333333
Missouri,1.0,20.0,2018,0.04,633,629,1262,0.5555555555555556,0.78875,0.6721527777777778
Montana,1.0,20.0,2018,0.1,606,592,1198,0.5555555555555556,0.74875,0.6521527777777778
Nebraska,1.0,20.1,2018,0.03,629,623,1252,0.5583333333333333,0.7825,0.6704166666666667
Nevada,1.0,17.7,2018,0.23,574,566,1140,0.49166666666666664,0.7125,0.6020833333333333
New Hampshire,0.16,25.1,2018,0.96,535,528,1063,0.6972222222222223,0.664375,0.6807986111111112
New Jersey,0.31,23.7,2018,0.82,547,547,1094,0.6583333333333333,0.68375,0.6710416666666666
New Mexico,0.67,19.4,2018,0.16,552,540,1093,0.5388888888888889,0.683125,0.6110069444444444
New York,0.27,24.5,2018,0.79,534,534,1068,0.6805555555555556,0.6675,0.6740277777777778
North Carolina,1.0,19.1,2018,0.52,554,543,1098,0.5305555555555556,0.68625,0.6084027777777778
North Dakota,0.98,20.3,2018,0.02,640,643,1283,0.5638888888888889,0.801875,0.6828819444444445
Ohio,1.0,20.3,2018,0.18,552,547,1099,0.5638888888888889,0.686875,0.6253819444444444
